#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-06-26T18:52:37 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b32848e92e8	
#INFO	-out.max=1000	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=1000
#-order=I
#-out.src=J/ApJS/192/5/hetdex
#-nav=cat:J/ApJS/192/5&tab:{J/ApJS/192/5/hetdex}&key:source=J/ApJS/192/5/hetdex&HTTPPRM:&&-ref=VIZ5b32848e92e8&-out.max=1000&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HPS&-out=lambda&-out=FWHM&-out=S/N&-out=Flux&-out=Spat&-out=mag&-out=n_mag&-out=Prob&-out=EW&-out=EWint&-out=Trans&-out=z&-out=Lya&-out=X-ray&-out=RAJ2000&-out=DEJ2000&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/192/5/hetdex
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/192/5/hetdex
#-out=HPS
#-out=lambda
#-out=FWHM
#-out=S/N
#-out=Flux
#-out=Spat
#-out=mag
#-out=n_mag
#-out=Prob
#-out=EW
#-out=EWint
#-out=Trans
#-out=z
#-out=Lya
#-out=X-ray
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_21920005
#Name: J/ApJS/192/5
#Title: Emission-line galaxies from HETDEX pilot survey (Adams+, 2011)
#Table	J_ApJS_192_5_hetdex:
#Name: J/ApJS/192/5/hetdex
#Title: HETDEX pilot survey emission line catalog  and classification
#Column	HPS	(I3)	HETDEX Pilot Survey index number	[ucd=meta.id;meta.main]
#Column	lambda	(F7.2)	Observed emission wavelength (1)	[ucd=em.wl]
#Column	FWHM	(I4)	Emission line intrinsic FWHM (2)	[ucd=spect.line.width;spect.line]
#Column	S/N	(F5.1)	Emission line Signal-to-Noise	[ucd=stat.snr;spect.line]
#Column	Flux	(F6.1)	Emission line flux (in 10^-17^erg/cm^2^/s) (3)	[ucd=phot.flux;spect.line]
#Column	Spat	(F4.1)	Emission line spatial FWHM (3)	[ucd=phys.angSize]
#Column	mag	(F5.2)	? Counterpart R or i' band magnitude (1)	[ucd=phot.mag;em.opt]
#Column	n_mag	(A1)	Simbad column added by the CDS	[ucd=instr.bandpass]
#Column	Prob	(F5.2)	Probability of counterpart association	[ucd=meta.id.assoc;stat.probability]
#Column	EW	(F6.1)	Rest-frame equivalent width (2)	[ucd=spect.line.eqWidth]
#Column	EWint	(F6.1)	Interpolated rest-frame equivalent width (3)	[ucd=spect.line.eqWidth]
#Column	Trans	(a11)	Emission line transition (4)	[ucd=meta.id;phys.atmol.transition]
#Column	z	(F7.4)	Estimated redshift	[ucd=src.redshift]
#Column	Lya	(F5.2)	Probability emission line is Ly{alpha} (5)	[ucd=stat.fit.goodness]
#Column	X-ray	(A16)	X-ray counterpart identification (JHHMMSSs+DDMMSS)	[ucd=meta.id.cross]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
HPS	lambda	FWHM	S/N	Flux	Spat	mag	n_mag	Prob	EW	EWint	Trans	z	Lya	X-ray	RAJ2000	DEJ2000
411	4941.81	  87	  6.9	   8.3	 4.7	19.05	R	 1.00	   0.7	   1.0	H{gamma}   	 0.1384	 0.00	J1236484+621426 	12 36 48.11	+62 14 26.3
412	4404.75	 991	  8.8	  32.9	 5.4	19.05	R	 1.00	   2.1	   3.9	[NeIII]3869	 0.1385	 0.00	J1236484+621426 	12 36 48.22	+62 14 26.1
413	4244.78	 293	 67.4	 197.7	 5.6	19.05	R	 1.00	  12.0	  23.8	[OII]      	 0.1389	 0.00	J1236484+621426 	12 36 48.23	+62 14 26.7
414	5433.79	 229	  5.7	   6.6	 4.4	22.82	R	 0.99	  16.6	  29.3	[OII]      	 0.4580	 0.01	                	12 36 49.08	+62 15 12.6
415	5308.51	 476	  7.2	  12.0	 4.8	25.25	R	 0.61	  89.6	 165.9	Ly{alpha}  	 3.3667	 0.97	                	12 36 49.38	+62 14 21.8
416	5499.10	 368	 15.6	  39.9	 7.3	21.82	R	 0.64	  40.2	  96.6	[OII]      	 0.4755	 0.36	J1236497+621313 	12 36 49.47	+62 13 13.9
417	5498.60	 354	 16.5	  22.7	 3.4	21.75	R	 1.00	  21.4	  34.8	[OII]      	 0.4753	 0.00	                	12 36 49.59	+62 11 13.2
418	5495.93	 305	  5.0	   4.8	 2.4	22.36	R	 0.95	   7.8	  15.0	[OII]      	 0.4746	 0.05	                	12 36 49.78	+62 13 01.0
419	3932.55	 476	  7.7	  24.4	 5.3	24.57	R	 0.79	  72.3	 184.1	Ly{alpha}  	 2.2349	 1.00	                	12 36 50.04	+62 14 00.7
420	4776.35	 572	  8.7	  18.6	 4.8	25.02	R	 0.41	 100.8	 297.2	Ly{alpha}  	 2.9290	 0.68	                	12 36 50.28	+62 10 55.8
421	5494.78	 312	 13.8	  23.0	 4.5	20.84	R	 0.99	   9.4	  16.8	[OII]      	 0.4743	 0.01	                	12 36 50.37	+62 12 40.2
422	5495.25	 283	 14.6	  21.7	 4.0	21.49	R	 0.96	  16.0	  27.9	[OII]      	 0.4744	 0.04	                	12 36 50.59	+62 10 58.5
423	4924.96	 332	 19.2	  21.9	 4.2	22.51	R	 0.98	  37.1	  66.1	[OII]      	 0.3214	 0.02	                	12 36 50.88	+62 12 56.2
424	5254.58	 263	  9.1	  15.9	 4.6	20.63	R	 1.00	   5.1	  12.4	[OII]      	 0.4099	 0.00	J1236511+621030 	12 36 51.08	+62 10 31.5
425	4475.10	 246	 43.5	 103.2	 5.9	19.70	R	 1.00	  11.9	  27.0	[OII]      	 0.2007	 0.00	                	12 36 51.18	+62 13 21.6
426	5354.45	 290	  6.2	   7.6	 3.7	25.24	R	 0.30	  56.7	  92.1	Ly{alpha}  	 3.4045	 0.98	                	12 36 51.60	+62 15 11.1
427	5657.71	  76	  5.8	  10.2	 5.1	23.15	R	 0.91	  36.1	  54.0	[OII]      	 0.5180	 0.03	J1236513+621051 	12 36 51.62	+62 10 52.2
428	5270.01	 287	  9.7	  14.3	 5.0	23.89	R	 0.95	  30.3	  42.2	Ly{alpha}  	 3.3351	 1.00	                	12 36 51.67	+62 15 16.3
429	4845.76	 247	  7.9	  12.4	 5.5	21.63	R	 0.96	   9.2	  25.9	[OII]      	 0.3002	 0.04	J1236517+621221 	12 36 51.78	+62 12 22.7
430	5452.19	  79	  5.9	   6.6	 4.3	21.88	R	 1.00	   9.3	  11.5	[OIII]5007 	 0.0889	 0.00	                	12 36 52.03	+62 11 25.9
431	5059.60	 207	 13.7	  16.7	 4.4	21.89	R	 0.99	  16.6	  30.6	[OII]      	 0.3576	 0.00	J1236521+621457 	12 36 52.15	+62 14 57.3
432	4920.32	 349	 16.0	  22.9	 4.2	21.81	R	 0.98	  20.5	  37.2	[OII]      	 0.3202	 0.02	                	12 36 52.64	+62 10 36.0
433	5219.72	 556	  5.6	   8.4	 4.1	23.44	R	 0.83	  35.8	  68.3	[OII]      	 0.4005	 0.06	                	12 36 52.66	+62 12 21.5
434	3970.24	 289	  6.4	  11.9	 6.0	26.89	R	 0.53	 298.9	 559.1	Ly{alpha}  	 2.2659	 1.00	                	12 36 54.27	+62 13 36.0
435	4672.32	 359	  8.1	  15.1	 5.1	20.91	R	 1.00	   5.5	  19.0	[OII]      	 0.2536	 0.00	                	12 36 54.72	+62 11 28.4
436	4156.58	 322	  5.0	   7.5	 5.0	25.41	R	 0.66	  51.1	  56.6	Ly{alpha}  	 2.4192	 0.90	                	12 36 54.94	+62 13 42.5
437	5532.37	 189	 11.8	  14.1	 4.0	21.07	R	 1.00	   9.6	  11.8	[OIII]5007 	 0.1049	 0.00	                	12 36 56.40	+62 14 20.7
438	4119.36	 199	 12.5	  30.4	 5.5	21.07	R	 1.00	  11.5	  23.5	[OII]      	 0.1053	 0.00	                	12 36 56.50	+62 14 19.5
439	5760.95	 232	  6.5	   8.4	 4.2	24.17	R	 0.54	  77.0	  92.5	[OII]      	 0.5457	 0.46	                	12 36 56.87	+62 11 52.0
440	5821.76	 260	  8.8	   6.5	 3.6	22.62	R	 0.95	  14.4	  19.4	[OII]      	 0.5620	 0.05	                	12 36 57.13	+62 12 27.1
441	5494.75	 327	 22.8	  38.9	 4.6	21.23	R	 0.96	  22.7	  38.8	[OII]      	 0.4743	 0.02	J1236569+621302 	12 36 57.49	+62 13 00.4
442	4921.47	 272	 15.0	  23.1	 5.7	22.21	R	 0.85	  29.8	  48.3	[OII]      	 0.3205	 0.02	                	12 36 58.07	+62 13 01.8
443	4920.97	 253	 11.6	  24.2	 7.3	21.20	R	 0.98	  12.3	  26.6	[OII]      	 0.3204	 0.02	                	12 36 58.64	+62 12 53.1
444	5632.70	 473	  5.4	   7.9	 4.4	22.73	R	 0.80	  18.9	  30.1	[OII]      	 0.5113	 0.01	J1236589+621435 	12 36 58.78	+62 14 38.7
445	5449.82	 112	 21.9	  48.9	 6.2	19.92	R	 1.00	  11.4	  14.8	[OIII]5007 	 0.0884	 0.00	J1236597+621404 	12 36 59.27	+62 14 06.4
446	5291.05	  81	  8.0	  17.2	 6.3	19.92	R	 1.00	   3.8	   5.1	H{beta}    	 0.0885	 0.00	J1236597+621404 	12 36 59.29	+62 14 05.2
447	5016.05	 318	  5.8	   7.2	 4.4	24.22	R	 0.93	  19.7	  31.3	Ly{alpha}  	 3.1262	 1.00	                	12 36 59.37	+62 13 42.6
448	5397.40	 184	  7.4	  14.8	 6.3	19.92	R	 1.00	   3.4	   4.4	[OIII]4959 	 0.0884	 0.00	J1236597+621404 	12 36 59.40	+62 14 05.5
449	4057.59	 217	 15.9	  65.9	 6.2	19.92	R	 0.99	   8.5	  20.9	[OII]      	 0.0887	 0.01	J1236597+621404 	12 36 59.50	+62 14 04.9
450	5645.65	 275	  8.5	   8.9	 2.8	22.78	R	 0.36	  22.2	  29.6	[OII]      	 0.5148	 0.00	J1236597+621404 	12 36 59.85	+62 14 05.9
451	5303.80	 409	  6.6	  11.3	 5.1	20.76	R	 0.80	   4.1	  10.2	[OII]      	 0.4231	 0.01	J1236597+621404 	12 37 00.31	+62 14 06.5
452	5256.55	 131	  7.0	  11.6	 4.7	21.00	R	 0.98	   5.2	  10.9	[OII]      	 0.4104	 0.02	                	12 37 01.73	+62 13 22.8
453	4386.82	1074	  6.8	  11.3	 2.0	19.06	R	 1.00	   0.7	   1.7	[NeIII]3869	 0.1338	 0.00	J1237020+621122 	12 37 01.94	+62 11 23.6
454	5633.22	 176	  9.6	  16.4	 5.0	22.56	R	 0.99	  33.3	  50.9	[OII]      	 0.5115	 0.01	                	12 37 01.96	+62 13 49.4
455	5631.72	  76	  9.3	  15.1	 5.6	19.06	R	 1.00	   1.6	   2.1	[OIII]4959 	 0.1357	 0.00	J1237020+621122 	12 37 02.05	+62 11 24.0
456	5686.34	 144	 19.9	  30.5	 5.0	19.06	R	 1.00	   3.4	   4.2	[OIII]5007 	 0.1357	 0.00	J1237020+621122 	12 37 02.08	+62 11 24.1
457	5521.00	  78	 16.6	  26.7	 5.4	19.06	R	 1.00	   2.8	   3.7	H{beta}    	 0.1358	 0.00	J1237020+621122 	12 37 02.09	+62 11 24.5
458	4233.33	 235	 44.5	 114.3	 5.4	19.06	R	 1.00	   7.0	  17.9	[OII]      	 0.1359	 0.00	J1237020+621122 	12 37 02.14	+62 11 23.7
459	4925.27	 280	 13.9	  30.4	 3.7	22.09	R	 0.92	  35.2	  52.4	[OII]      	 0.3215	 0.07	                	12 37 03.92	+62 10 11.1
460	5496.46	 347	 12.8	  19.8	 4.5	21.76	R	 0.99	  18.9	  35.5	[OII]      	 0.4748	 0.01	                	12 37 04.02	+62 14 42.5
461	4977.89	 479	  9.2	  13.5	 4.2	24.39	R	 0.82	  54.2	  56.1	CIV1549    	 2.2136	 0.08	                	12 37 04.17	+62 14 46.7
462	3905.67	 546	 12.4	  78.9	 6.4	24.39	R	 0.96	 195.4	 335.2	Ly{alpha}  	 2.2128	 1.00	                	12 37 04.49	+62 14 46.6
463	5256.63	 334	 14.7	  29.2	 4.1	21.96	R	 0.72	  32.0	  62.4	[OII]      	 0.4104	 0.28	                	12 37 04.55	+62 10 29.9
464	5814.80	 253	  5.7	   9.4	 4.9	21.39	R	 1.00	   6.7	  10.6	[OII]      	 0.5602	 0.00	J1237046+621429 	12 37 04.59	+62 14 29.5
465	5169.47	 259	  8.1	  15.6	 6.0	22.59	R	 0.97	  30.0	  55.3	[OII]      	 0.3870	 0.03	                	12 37 05.21	+62 12 11.7
466	5152.53	 371	 14.6	  20.5	 4.2	23.55	R	 0.94	  31.0	  58.9	Ly{alpha}  	 3.2384	 1.00	                	12 37 05.85	+62 15 03.1
467	4622.35	  93	  6.0	   9.4	 4.8	     	R	 0.02	 270.7	 296.8	Ly{alpha}  	 2.8023	 1.00	                	12 37 07.53	+62 11 38.3
468	5804.44	 296	 12.9	  16.5	 4.0	22.70	R	 0.98	  39.6	  52.3	[OII]      	 0.5574	 0.02	                	12 37 07.74	+62 11 39.4
469	5302.28	 389	 34.5	  70.3	 5.2	20.32	R	 0.95	  17.1	  30.1	[OII]      	 0.4227	 0.05	J1237083+621056 	12 37 08.19	+62 10 57.1
470	5823.58	 274	 12.6	  20.1	 5.1	22.19	R	 0.98	  30.2	  42.3	[OII]      	 0.5625	 0.01	                	12 37 08.24	+62 14 55.0
471	5258.97	 287	 14.6	  24.7	 5.0	21.01	R	 0.94	  11.3	  21.1	[OII]      	 0.4110	 0.00	                	12 37 08.76	+62 10 52.1
472	5527.22	 217	  5.6	   3.9	 3.1	23.29	R	 0.47	  15.4	  23.9	[OII]      	 0.4830	 0.03	                	12 37 10.81	+62 10 50.2
473	5497.45	 478	  5.9	   7.5	 3.5	23.16	R	 0.96	  25.8	  46.7	[OII]      	 0.4750	 0.02	                	12 37 10.93	+62 11 30.5
474	3980.21	 564	  5.6	  13.6	 4.2	25.14	R	 0.23	  68.6	 102.0	Ly{alpha}  	 2.2741	 0.28	                	12 37 11.00	+62 11 40.9
475	5256.73	 427	  5.6	  11.2	 4.0	21.94	R	 0.83	  12.1	  23.0	[OII]      	 0.4104	 0.08	                	12 37 11.50	+62 11 29.4
476	5264.56	 440	 12.7	  19.1	 4.0	22.02	R	 0.97	  22.1	  38.0	[OII]      	 0.4125	 0.03	                	12 37 11.60	+62 10 21.1
477	4840.35	 303	 38.1	  70.8	 5.1	20.09	R	 1.00	  12.8	  25.4	[OII]      	 0.2987	 0.00	                	12 37 11.68	+62 15 14.5
478	5023.20	 334	  6.2	   7.2	 4.1	20.09	R	 1.00	   1.4	   2.4	[NeIII]3869	 0.2983	 0.00	                	12 37 11.69	+62 15 14.4
479	5677.75	 295	  8.3	  15.5	 5.2	21.67	R	 0.97	  14.0	  24.6	[OII]      	 0.5234	 0.03	                	12 37 13.52	+62 15 11.6
